Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
Q_Tyiksaks    21 eng   C 19  4  4  4 49 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
A_Atundivr    19 aus   L 12  5  3  4 46 37 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
O_Zoanh       17 den   C 12  4  4  3 30 31 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
F_Edsosh      28 den   L  4 18  8 10 39 32 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
H_Andushabl   19 spa   L  3 16  7  9 69 32 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
D_Anyitr      27 nor   L  4 15  7  9 39 23 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
O_Ockit       24 nig   L  4 15 11  7 72 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
A_Nivoovru    25 fra   R  4 14 10  9 31 27 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
C_Oblubt      25 cam   C  3 14  8  9 33 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
T_Absoa       29 eng RLC  4 14  6  6 50 21 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
G_Fikr        23 bra   C  4 14  7 11 57 32 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
K_Istackart   23 cam   L  3 13 10 12 27 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Iclosyoi    24 usa  RC  4 12 13  6 74 25 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
O_Tronya      26 fra   R  5 11 12 10 51 23 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
V_Shomnando   19 nig   C  5 10 18 10 71 31 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
B_Uskof       23 nig   L  3 11 17 12 35 27 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
I_Higrabs     23 ire   R  4  6 17  8 43 29 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
D_Urtobro     28 isr   R  4  8 16 11 42 29 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
S_Orirst      23 nor  RL  5 11 16  6 56 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Q_Propri      24 cro   R  4  9 16  9 31 37 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
T_Mefupr      23 usa   C  4  8 15  9 33 25 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
K_Ijhe        26 spa  RC  4  9 13 12 29 37 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
A_Soablu      29 spa   R  4 10 13  9 37 39 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
S_Indowshtoo  23 spa   C  4  8 13 12 64 24 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
U_Track       23 saf   C  3  9 11 10 46 32 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Y_Tikrot      24 cro   L  5  8 12 19 36 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
G_Endibirt    24 cam   C  4  9  8 18 40 31 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Z_Powparsoo   25 ger   R  3  7 12 16 55 32 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
R_Groigru     19 arg  RC  4  8  8 14 35 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
W_Imne        27 ger  RC  5 11  9 12 30 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100

