Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
P_Udsegra     25 saf   C 19  4  4  4 70 37 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
B_Risy        20 bra   R 15  4  4  3 54 27 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Q_Unibany     20 spa RLC 13  5  4  5 60 29 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
C_Jirsoi      21 ger  LC  5 19  8  7 53 39 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
I_Sufish      24 nig  RC  3 19 10  8 55 26 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
T_Rarsockow   23 bra   L  5 19  9  8 67 32 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
U_Osewra      26 jap   L  4 18  6  7 59 22 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Q_Amevr       29 eng   L  4 15  9  9 48 26 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Q_Claey       26 usa   R  4 15  6 10 68 32 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
B_Noadri      19 ita   C  3 15 11 11 50 36 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
O_Ashursoovr  29 spa   R  3 14 12  6 53 27 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
U_Kroesy      25 den   L  4 12  9  6 60 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
B_Orstucho    18 den   L  3 11  9  6 40 29 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
R_Odra        21 den   R  5  9 12 10 53 34 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
F_Ickaj       27 ita   C  3 11 19 10 51 36 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
A_Oproivr     23 bra   C  4  8 18 12 47 24 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
O_Buh         19 cam  LC  4  9 17 10 45 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
W_Profu       22 bul   R  5  7 16  9 71 38 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
L_Absevr      22 hol  RC  5 12 15  7 30 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
B_Seclars     22 nor   L  5 11 14  7 61 32 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
R_Navra       28 ita   L  3  9 12  9 41 25 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
J_Choach      19 arg   C  5  9 12 13 28 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
A_Praks       21 saf   R  3  9 12 13 66 32 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
P_Stoetramu   20 den   C  4  7 12 13 56 38 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
O_Necku       27 spa   R  4  9 11  7 68 27 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
B_Cherstesht  21 ger   C  5  6  8 17 44 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
I_Unhok       23 eng   L  4 10 11 16 47 36 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
E_Rut         23 cam   L  4 11  8 15 56 27 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
W_Poirtach    23 eng   C  3  7 12 15 62 28 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
E_Agro        24 nor  LC  3 12  7 11 58 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100

