Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
D_Jhodsofa    29 ire   L 18  3  4  3 39 29 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
V_Kaebtoekse  28 usa   L 16  3  4  4 58 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Y_Cafucka     27 spa   L 15  3  5  5 41 28 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
F_Avri        18 ita   R  3 16 11 12 72 21 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
N_Stetri      27 usa   L  3 15  9  9 48 22 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
K_Ajhig       22 arg   L  4 15  8 10 56 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
D_Zadredno    25 arg   C  4 15  8 11 54 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Q_Okrety      25 usa   C  3 14  6  8 52 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Y_Broibri     27 isr   C  4 13  6 12 38 36 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
G_Btoirsidna  23 ita   R  4 13  7 10 42 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
U_Sorsedsu    19 nor   R  4 12  6  6 52 21 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Vursta      29 bra   R  5 12 13 12 34 32 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
D_Emnidso     28 saf   C  4 12 12 11 66 39 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
E_Remna       23 ger   L  5  9 12 11 31 31 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Btidso      24 den   R  4  8 19 11 28 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Y_Otrewrs     23 cam   L  4 12 18 10 74 31 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
I_Ortaska     22 cro   R  4  9 17  8 27 28 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Z_Irsteg      22 saf   R  3  9 15  6 65 21 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
D_Raende      23 ger   R  4 11 15  8 65 25 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
T_Onho        24 arg RLC  3  8 14 10 52 38 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Z_Yoidr       19 nor   L  4  9 13 14 38 27 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
V_Evrutri     27 saf  RL  4  6 12 12 47 28 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
L_Imuble      25 arg   R  5  8 11 12 73 25 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Y_Ibsua       28 nig   C  4 10  9 13 53 29 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
W_Endumow     23 saf  RC  4  8  9 15 63 29 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
E_Claevrod    27 bul RLC  5  6  7 16 36 28 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Z_Uryewprew   21 ire   C  5 11  6 15 66 23 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
X_Ujoj        29 ita  RC  5  9  7 15 56 34 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
F_Uti         21 fra  RC  4 11  8 14 60 36 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Lobtod      28 cro   R  4  8 12 11 35 22 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100

